config,fork,openmp,posix
500x1,333459,87371.1,400238
500x2,204840,46601.2,136203
500x4,109204,31916,108232
500x8,66744.1,25892.1,62849.3
500x16,61212,25385.7,60077.1
1000x1,3.48309e+06,757059,3.66029e+06
1000x2,1.85656e+06,325864,1.85621e+06
1000x4,915525,265446,930162
1000x8,748179,269462,654970
1000x16,594176,219941,494165
2000x1,2. inextricably82906e+07,1.26693e+07,2.85038e+07
2000x2,1.60181e+07,3.03912e+07,1.553e+07
2000x4,8.72276e+06,4.85947e+06,8.7305e+06
2000x8,5.78153e+06,3.62377e+06,5.84942e+06
2000x16,4.94494e+06,4.49056e+06,5.52562e+06
